Name,Summary,Description,Status,Resolution Date,Due Date,Parent,Hierarchy
Performance Optimization,Optimize app performance in cloud.,Task to tune resources; auto-scaling; and caching mechanisms. This is a key component in the Application Migration phase; ensuring alignment with overall goals.,In Progress,,2025-11-13,Application Migration,Initiative > Application Migration > Performance Optimization
Performance Optimization Sub-Task 1,Sub-component 1 of Performance Optimization.,Detailed task for Performance Optimization: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,In Progress,,2025-10-24,Performance Optimization,Initiative > Application Migration > Performance Optimization > Performance Optimization Sub-Task 1
Performance Optimization Sub-Task 2,Sub-component 2 of Performance Optimization.,Detailed task for Performance Optimization: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,In Progress,,2025-11-09,Performance Optimization,Initiative > Application Migration > Performance Optimization > Performance Optimization Sub-Task 2
Performance Optimization Sub-Task 3,Sub-component 3 of Performance Optimization.,Detailed task for Performance Optimization: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,In Progress,,2025-11-06,Performance Optimization,Initiative > Application Migration > Performance Optimization > Performance Optimization Sub-Task 3
Performance Optimization Sub-Sub-task 4,Sub-component 4 of Performance Optimization.,Detailed sub-task for Performance Optimization: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,In Progress,,2025-10-28,Performance Optimization,Initiative > Application Migration > Performance Optimization > Performance Optimization Sub-Sub-task 4
Security Audit,Conduct security review of migrated apps.,Story for vulnerability scans and compliance checks. This is a key component in the Application Migration phase; ensuring alignment with overall goals.,To Do,,2025-10-31,Application Migration,Initiative > Application Migration > Security Audit
Security Audit Sub-Story 1,Sub-component 1 of Security Audit.,Detailed story for Security Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,To Do,,2025-10-21,Security Audit,Initiative > Application Migration > Security Audit > Security Audit Sub-Story 1
Security Audit Sub-Sub-task 2,Sub-component 2 of Security Audit.,Detailed sub-task for Security Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,To Do,,2025-10-25,Security Audit,Initiative > Application Migration > Security Audit > Security Audit Sub-Sub-task 2
Security Audit Sub-Story 3,Sub-component 3 of Security Audit.,Detailed story for Security Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,In Progress,,2025-11-05,Security Audit,Initiative > Application Migration > Security Audit > Security Audit Sub-Story 3
Security Audit Sub-Sub-task 4,Sub-component 4 of Security Audit.,Detailed sub-task for Security Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Application Migration.,Done,2025-10-08,,Security Audit,Initiative > Application Migration > Security Audit > Security Audit Sub-Sub-task 4
Optimization and Deployment,Optimize performance and deploy to production.,Final epic for tuning; testing; and going live with the migrated systems; including post-migration audits and training.,To Do,,2025-11-15,Enterprise Cloud Migration,Initiative > Optimization and Deployment
Performance Tuning,Tune system performance post-migration.,Task to adjust configurations for optimal throughput and latency. This is a key component in the Optimization and Deployment phase; ensuring alignment with overall goals.,In Progress,,2025-11-17,Optimization and Deployment,Initiative > Optimization and Deployment > Performance Tuning
Performance Tuning Sub-Story 1,Sub-component 1 of Performance Tuning.,Detailed story for Performance Tuning: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,Done,2025-10-02,,Performance Tuning,Initiative > Optimization and Deployment > Performance Tuning > Performance Tuning Sub-Story 1
Performance Tuning Sub-Story 2,Sub-component 2 of Performance Tuning.,Detailed story for Performance Tuning: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,In Progress,,2025-11-06,Performance Tuning,Initiative > Optimization and Deployment > Performance Tuning > Performance Tuning Sub-Story 2
Performance Tuning Sub-Task 3,Sub-component 3 of Performance Tuning.,Detailed task for Performance Tuning: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,In Progress,,2025-10-25,Performance Tuning,Initiative > Optimization and Deployment > Performance Tuning > Performance Tuning Sub-Task 3
Performance Tuning Sub-Story 4,Sub-component 4 of Performance Tuning.,Detailed story for Performance Tuning: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,In Progress,,2025-10-31,Performance Tuning,Initiative > Optimization and Deployment > Performance Tuning > Performance Tuning Sub-Story 4
Integration Testing,Test integrations between services.,Story for end-to-end testing of APIs and data flows in the cloud. This is a key component in the Optimization and Deployment phase; ensuring alignment with overall goals.,Done,2025-10-03,,Optimization and Deployment,Initiative > Optimization and Deployment > Integration Testing
Integration Testing Sub-Story 1,Sub-component 1 of Integration Testing.,Detailed story for Integration Testing: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,Done,2025-09-28,,Integration Testing,Initiative > Optimization and Deployment > Integration Testing > Integration Testing Sub-Story 1
Integration Testing Sub-Sub-task 2,Sub-component 2 of Integration Testing.,Detailed sub-task for Integration Testing: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,Done,2025-09-30,,Integration Testing,Initiative > Optimization and Deployment > Integration Testing > Integration Testing Sub-Sub-task 2
Integration Testing Sub-Sub-task 3,Sub-component 3 of Integration Testing.,Detailed sub-task for Integration Testing: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,Done,2025-10-12,,Integration Testing,Initiative > Optimization and Deployment > Integration Testing > Integration Testing Sub-Sub-task 3
Integration Testing Sub-Sub-task 4,Sub-component 4 of Integration Testing.,Detailed sub-task for Integration Testing: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-10-26,Integration Testing,Initiative > Optimization and Deployment > Integration Testing > Integration Testing Sub-Sub-task 4
User Training,Train users on new cloud environment.,Task to develop and deliver training materials and sessions. This is a key component in the Optimization and Deployment phase; ensuring alignment with overall goals.,To Do,,2025-10-25,Optimization and Deployment,Initiative > Optimization and Deployment > User Training
User Training Sub-Sub-task 1,Sub-component 1 of User Training.,Detailed sub-task for User Training: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-15,User Training,Initiative > Optimization and Deployment > User Training > User Training Sub-Sub-task 1
User Training Sub-Story 2,Sub-component 2 of User Training.,Detailed story for User Training: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-11,User Training,Initiative > Optimization and Deployment > User Training > User Training Sub-Story 2
User Training Sub-Task 3,Sub-component 3 of User Training.,Detailed task for User Training: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-14,User Training,Initiative > Optimization and Deployment > User Training > User Training Sub-Task 3
User Training Sub-Story 4,Sub-component 4 of User Training.,Detailed story for User Training: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-12,User Training,Initiative > Optimization and Deployment > User Training > User Training Sub-Story 4
User Training Sub-Sub-task 5,Sub-component 5 of User Training.,Detailed sub-task for User Training: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-15,User Training,Initiative > Optimization and Deployment > User Training > User Training Sub-Sub-task 5
Go-Live Preparation,Prepare for production deployment.,Child Epic for cutover planning; rollback strategies; and communication. This is a key component in the Optimization and Deployment phase; ensuring alignment with overall goals.,To Do,,2025-11-06,Optimization and Deployment,Initiative > Optimization and Deployment > Go-Live Preparation
Go-Live Preparation Sub-Story 1,Sub-component 1 of Go-Live Preparation.,Detailed story for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-10-29,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Story 1
Go-Live Preparation Sub-Sub-task 2,Sub-component 2 of Go-Live Preparation.,Detailed sub-task for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,Done,2025-09-25,,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Sub-task 2
Go-Live Preparation Sub-Story 3,Sub-component 3 of Go-Live Preparation.,Detailed story for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-14,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Story 3
Go-Live Preparation Sub-Task 4,Sub-component 4 of Go-Live Preparation.,Detailed task for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-04,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Task 4
Go-Live Preparation Sub-Task 5,Sub-component 5 of Go-Live Preparation.,Detailed task for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-10-24,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Task 5
Go-Live Preparation Sub-Task 6,Sub-component 6 of Go-Live Preparation.,Detailed task for Go-Live Preparation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-10-26,Go-Live Preparation,Initiative > Optimization and Deployment > Go-Live Preparation > Go-Live Preparation Sub-Task 6
Post-Migration Audit,Audit after migration completion.,Task to review costs; performance; and compliance. This is a key component in the Optimization and Deployment phase; ensuring alignment with overall goals.,To Do,,2025-11-04,Optimization and Deployment,Initiative > Optimization and Deployment > Post-Migration Audit
Post-Migration Audit Sub-Sub-task 1,Sub-component 1 of Post-Migration Audit.,Detailed sub-task for Post-Migration Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-01,Post-Migration Audit,Initiative > Optimization and Deployment > Post-Migration Audit > Post-Migration Audit Sub-Sub-task 1
Post-Migration Audit Sub-Sub-task 2,Sub-component 2 of Post-Migration Audit.,Detailed sub-task for Post-Migration Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-14,Post-Migration Audit,Initiative > Optimization and Deployment > Post-Migration Audit > Post-Migration Audit Sub-Sub-task 2
Post-Migration Audit Sub-Task 3,Sub-component 3 of Post-Migration Audit.,Detailed task for Post-Migration Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,In Progress,,2025-11-17,Post-Migration Audit,Initiative > Optimization and Deployment > Post-Migration Audit > Post-Migration Audit Sub-Task 3
Post-Migration Audit Sub-Story 4,Sub-component 4 of Post-Migration Audit.,Detailed story for Post-Migration Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-10-19,Post-Migration Audit,Initiative > Optimization and Deployment > Post-Migration Audit > Post-Migration Audit Sub-Story 4
Post-Migration Audit Sub-Story 5,Sub-component 5 of Post-Migration Audit.,Detailed story for Post-Migration Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Optimization and Deployment.,To Do,,2025-11-13,Post-Migration Audit,Initiative > Optimization and Deployment > Post-Migration Audit > Post-Migration Audit Sub-Story 5
